doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
7b4cfd1f-9f1f-5904-bf93-20b3deec2ef8+4,event-8,patient,ss-7,a three-year-old,,یک کودک سه ساله,"['یک', 'کودک', 'سه', 'ساله']",13,16,56,71,"[18, 19]"
7d036ee4-e375-58e4-b858-065a09296837+2,event-33,agent,ss-12,PD,,انتخابات,['انتخابات'],2,2,12,20,"[2, 2]"
7d036ee4-e375-58e4-b858-065a09296837+2,event-35,anchor,ss-52,run,پیشنهاد,,[],0,0,0,0,"[5, 5]"
7d036ee4-e375-58e4-b858-065a09296837+2,event-28,patient,ss-13,her,باراسچیو,,[],0,0,0,0,"[9, 9]"
7d036ee4-e375-58e4-b858-065a09296837+4,event-21,agent,ss-8,some politicians,,برخی از سیاستمداران,"['برخی', 'از', 'سیاستمداران']",6,8,25,44,"[3, 4]"
7d036ee4-e375-58e4-b858-065a09296837+4,event-32,anchor,ss-49,forced out,آزاد,به زور از زندان آزاد شدند,"['به', 'زور', 'از', 'زندان', 'آزاد', 'شدند']",26,31,131,156,"[6, 7]"
864dc540-ef75-56eb-807e-948ae4d35162+1,event-17,agent,ss-16,Israel,اسرائیلی که در این هفته مشغول فعالیت بوده ، اسرائیل,اسرائیل,['اسرائیل'],14,14,66,73,"[0, 0]"
864dc540-ef75-56eb-807e-948ae4d35162+7,event-8,agent,ss-4,the official,,او,['او'],0,0,0,2,"[6, 7]"
864dc540-ef75-56eb-807e-948ae4d35162+8,event-14,anchor,ss-35,protest,اردوگاه,,[],0,0,0,0,"[21, 21]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+3,event-17,patient,ss-4,28,,۲۸,['۲۸'],13,13,48,50,"[7, 7]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+5,event-19,anchor,ss-36,quarantine,کرده‌است,,[],0,0,0,0,"[25, 25]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+7,event-1,anchor,ss-18,checking temperatures,دمای تمام مسافران را قبل از سوار شدن کنترل,کنترل می کنند,"['کنترل', 'می', 'کنند']",31,33,141,154,"[21, 22]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+8,event-22,agent,ss-16,China Airlines,,خطوط هوایی چین,"['خطوط', 'هوایی', 'چین']",0,2,0,14,"[0, 1]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+8,event-22,patient,ss-12,all passengers,,همه مسافران,"['همه', 'مسافران']",6,7,28,39,"[4, 5]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+8,event-22,anchor,ss-39,wear face masks,,ماسک های صورت,"['ماسک', 'های', 'صورت']",9,11,45,58,"[9, 11]"
97bd1bd4-8a41-51e4-9130-d9b20977a37e+4,event-11,agent,ss-1,they,پلیس ضد,,[],0,0,0,0,"[9, 9]"
97bd1bd4-8a41-51e4-9130-d9b20977a37e+7,event-15,patient,ss-13,Golden Dawn,,سپیده ی طلایی,"['سپیده', 'ی', 'طلایی']",0,2,0,13,"[0, 1]"
97bd1bd4-8a41-51e4-9130-d9b20977a37e+9,event-22,anchor,ss-40,falling support,حمایت از طلوع طلایی قبل از دور جدید انتخابات در ۱۷ ژوئن کاهش,کاهش یافته است,"['کاهش', 'یافته', 'است']",19,21,90,104,"[4, 5]"
98749ded-9acd-55cb-9bd0-df082f20fee5+0,event-8,patient,ss-1,29,,۲۹,['۲۹'],10,10,47,49,"[10, 10]"
98749ded-9acd-55cb-9bd0-df082f20fee5+1,event-9,patient,ss-2,she,دمنیا امیر,,[],0,0,0,0,"[10, 10]"
98749ded-9acd-55cb-9bd0-df082f20fee5+2,event-5,patient,ss-1,29,,۲۹,['۲۹'],17,17,77,79,"[17, 17]"
98749ded-9acd-55cb-9bd0-df082f20fee5+3,event-18,patient,ss-2,her,,او,['او'],15,15,66,68,"[16, 16]"
98749ded-9acd-55cb-9bd0-df082f20fee5+4,event-17,anchor,ss-30,set off explosives,منفجره را در بخش زنان کلیسای سنت پیتر و سنت پل در قاهره بلافاصله منفجر کرد,مواد منفجره,"['مواد', 'منفجره']",21,22,91,102,"[16, 18]"
98749ded-9acd-55cb-9bd0-df082f20fee5+5,event-11,patient,ss-6,Five more of those,,پنج تن دیگر از,"['پنج', 'تن', 'دیگر', 'از']",0,3,0,14,"[0, 3]"
9ca065ad-c8eb-53b6-a8b3-aea777c53d90+5,event-6,anchor,ss-30,downplay,بی‌اهمیت,,[],0,0,0,0,"[25, 25]"
9ca065ad-c8eb-53b6-a8b3-aea777c53d90+5,event-22,anchor,ss-46,detentions,بازداشت‌های,,[],0,0,0,0,"[36, 36]"
9ca065ad-c8eb-53b6-a8b3-aea777c53d90+8,event-16,patient,ss-24,many,,خیلی ها,"['خیلی', 'ها']",7,8,31,38,"[27, 27]"
9e8e7689-0470-590f-aa95-5db2e90310d5+1,event-1,anchor,ss-23,called for,خواستار تظاهرات روزانه شدند,خواستار,['خواستار'],17,17,69,76,"[3, 4]"
9e8e7689-0470-590f-aa95-5db2e90310d5+7,event-20,patient,ss-14,176,آن‌ها,۱۷۶,['۱۷۶'],3,3,13,16,"[4, 4]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+2,event-1,agent,ss-1,Those,,کسانی,['کسانی'],0,0,0,5,"[0, 0]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+2,event-28,anchor,ss-42,held,,هستند,['هستند'],23,23,105,110,"[1, 1]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+7,event-11,agent,ss-8,some of those,,برخی از,"['برخی', 'از']",18,19,86,93,"[10, 12]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+7,event-21,anchor,ss-35,prosecutions,پرونده‌های,,[],0,0,0,0,"[34, 34]"
a482a16c-47cc-5625-ae6e-a6b0718bd098+0,event-5,agent,ss-2,Ebola,,ابولا,['ابولا'],3,3,18,23,"[0, 0]"
a482a16c-47cc-5625-ae6e-a6b0718bd098+0,event-5,anchor,ss-18,toll,,تعداد مبتلایان,"['تعداد', 'مبتلایان']",0,1,0,14,"[1, 1]"
a482a16c-47cc-5625-ae6e-a6b0718bd098+2,event-6,patient,ss-4,78,,۷۸,['۷۸'],17,17,79,81,"[11, 11]"
a482a16c-47cc-5625-ae6e-a6b0718bd098+2,event-6,anchor,ss-19,died,دست,جان خود را از دست داده اند,"['جان', 'خود', 'را', 'از', 'دست', 'داده', 'اند']",19,25,86,112,"[13, 13]"
a597d736-3015-53d9-a47d-09ab5187edcc+1,event-15,patient,ss-1,it,دولت تایلند,,[],0,0,0,0,"[15, 15]"
a597d736-3015-53d9-a47d-09ab5187edcc+3,event-10,anchor,ss-37,calling on,از مجلس علیا ، دادگاه‌ها و کمیسیون انتخابات می‌خواهند,می خواهند,"['می', 'خواهند']",23,24,109,118,"[10, 11]"
a597d736-3015-53d9-a47d-09ab5187edcc+4,event-16,patient,ss-19,her,یئونگ‌ولک,,[],0,0,0,0,"[15, 15]"
a813a8fa-2efc-5b7d-ac94-4b73fc9b71a3+3,event-30,patient,ss-7,all three,,هر سه نفر,"['هر', 'سه', 'نفر']",3,5,12,21,"[3, 4]"
a813a8fa-2efc-5b7d-ac94-4b73fc9b71a3+6,event-17,patient,ss-3,the government,,دولت,['دولت'],12,12,67,71,"[11, 12]"
a8c27333-43b2-5b8a-a331-9fee8c37c438+1,event-1,anchor,ss-15,said,سخنگوی,,[],0,0,0,0,"[39, 39]"
a8c27333-43b2-5b8a-a331-9fee8c37c438+4,event-13,patient,ss-9,one of the mosques,,یکی از مساجد,"['یکی', 'از', 'مساجد']",18,20,63,75,"[10, 13]"
a8c27333-43b2-5b8a-a331-9fee8c37c438+7,event-3,anchor,ss-17,according,بنا,بنا به گفته,"['بنا', 'به', 'گفته']",0,2,0,11,"[25, 25]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+1,event-32,anchor,ss-89,barred entry,ورود مسافران کویت و بحرین به دلیل گسترش ویروس جدید کرونا را ممنوع,ممنوع کرد,"['ممنوع', 'کرد']",23,24,111,120,"[7, 8]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+1,event-33,anchor,ss-90,prohibiting travel,سفر به آن‌ها ممنوع,ممنوع شد,"['ممنوع', 'شد']",36,37,161,169,"[24, 25]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+10,event-17,patient,ss-20,the first Iraqis,ایرانی در نجف اولین مورد تأیید شده در عراق,اولین عراقی هایی,"['اولین', 'عراقی', 'هایی']",22,24,87,103,"[2, 4]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+13,event-20,patient,ss-28,"more than 2,700",,بیش از ۲ ٫ ۲۰۰ نفر,"['بیش', 'از', '۲', '٫', '۲۰۰', 'نفر']",33,38,140,158,"[28, 30]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+2,event-34,agent,ss-33,Health Minister Jaafar Allawi,,وزیر بهداشت جعفر آلوی,"['وزیر', 'بهداشت', 'جعفر', 'آلوی']",0,3,0,21,"[0, 3]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+2,event-34,patient,ss-7,Iraqi citizens,,شهروندان عراقی,"['شهروندان', 'عراقی']",9,10,44,58,"[9, 10]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+2,event-34,anchor,ss-91,not allowed to travel,,اجازه ندارند,"['اجازه', 'ندارند']",11,12,59,71,"[13, 16]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+3,event-35,anchor,ss-92,the entry ban,ورود به این,منع,['منع'],20,20,83,86,"[11, 13]"
aaecf230-a8fd-569a-9e4f-02977513dd68+3,event-15,anchor,ss-24,pleaded,کرد,,[],0,0,0,0,"[12, 12]"
aaecf230-a8fd-569a-9e4f-02977513dd68+6,event-18,anchor,ss-27,ban,,ممنوع,['ممنوع'],18,18,74,79,"[13, 13]"
aaecf230-a8fd-569a-9e4f-02977513dd68+6,event-17,patient,ss-2,He,العدلی,,[],0,0,0,0,"[17, 17]"
ab221507-2e5e-5eff-b8c5-3ed5d3c3c71f+4,event-12,agent,ss-2,They,,آن ها,"['آن', 'ها']",0,1,0,5,"[0, 0]"
ab221507-2e5e-5eff-b8c5-3ed5d3c3c71f+4,event-12,anchor,ss-30,called,,خواستار,['خواستار'],2,2,6,13,"[1, 1]"
ab221507-2e5e-5eff-b8c5-3ed5d3c3c71f+6,event-30,anchor,ss-48,fired,کرد,,[],0,0,0,0,"[10, 10]"
acbd122b-bfed-5ee7-b810-128fd817a951+10,event-24,patient,ss-10,the prison service,,زندان,['زندان'],28,28,118,123,"[17, 19]"
acbd122b-bfed-5ee7-b810-128fd817a951+2,event-22,agent,ss-3,many on high,,بسیاری از افراد در سطوح بالا,"['بسیاری', 'از', 'افراد', 'در', 'سطوح', 'بالا']",6,11,26,54,"[7, 9]"
acbd122b-bfed-5ee7-b810-128fd817a951+4,event-26,patient,ss-1,the 14,,۱۴ نفر,"['۱۴', 'نفر']",3,4,12,18,"[1, 2]"
bb3db4ea-c13d-5bda-9354-8e5024966d00+2,event-10,patient,ss-1,The 17-year-old,,این کودک ۱۷ ساله,"['این', 'کودک', '۱۷', 'ساله']",0,3,0,16,"[0, 1]"
bb3db4ea-c13d-5bda-9354-8e5024966d00+9,event-7,anchor,ss-27,claimed responsibility,مسئولیت تعدادی از حملات در مقیاس بزرگ در فرانسه را بر عهده,مسئولیت,['مسئولیت'],2,2,12,19,"[3, 4]"
bb3db4ea-c13d-5bda-9354-8e5024966d00+9,event-27,anchor,ss-47,killed,کشته,,[],0,0,0,0,"[47, 47]"
bb3db4ea-c13d-5bda-9354-8e5024966d00+9,event-26,patient,ss-9,86 people,,۸۶ نفر,"['۸۶', 'نفر']",22,23,104,110,"[20, 21]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+14,event-44,anchor,ss-118,set both on fire,دو را به آتش کشیدند,,[],0,0,0,0,"[20, 23]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+16,event-26,anchor,ss-100,packed the streets,خیابان‌های بیروت به عنوان بخشی از تجمع گروه‌های شبه‌نظامی حزب‌الله تجمع,در خیابان های تجمع کردند,"['در', 'خیابان', 'های', 'تجمع', 'کردند']",5,21,35,115,"[6, 8]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+16,event-37,agent,ss-56,the militant group Hezbollah,,گروه های شبه نظامی حزب الله,"['گروه', 'های', 'شبه', 'نظامی', 'حزب', 'الله']",14,19,77,104,"[18, 21]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+2,event-47,patient,ss-3,hundreds more,,صدها نفر دیگر,"['صدها', 'نفر', 'دیگر']",17,19,67,80,"[18, 19]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+3,event-34,anchor,ss-108,assault,,حملات,['حملات'],3,3,16,21,"[4, 4]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+8,event-18,agent,ss-10,thousands,,هزاران نفر,"['هزاران', 'نفر']",6,7,32,42,"[4, 4]"
bcbaa297-a22c-547c-9261-5fbbd7efd90a+2,event-22,patient,ss-6,10,,ده,['ده'],23,23,121,123,"[23, 23]"
bcbaa297-a22c-547c-9261-5fbbd7efd90a+3,event-3,agent,ss-24,Nwaogbo,او,,[],0,0,0,0,"[21, 21]"
bcbaa297-a22c-547c-9261-5fbbd7efd90a+3,event-3,anchor,ss-29,said,گفت,,[],0,0,0,0,"[2, 2]"
bcbaa297-a22c-547c-9261-5fbbd7efd90a+4,event-5,anchor,ss-31,claimed responsibility,مسئولیت بمب‌گذاری در ۱۶ ژوئن در مقر پلیس ملی را بر عهده گرفت,بر عهده گرفت,"['بر', 'عهده', 'گرفت']",17,19,81,93,"[2, 3]"
be26c9e5-b25d-5691-80a0-1d0880396ac5+1,event-3,anchor,ss-20,announced,اعلام,,[],0,0,0,0,"[9, 9]"
be26c9e5-b25d-5691-80a0-1d0880396ac5+6,event-16,agent,ss-4,Demonstrators,,تظاهرکنندگان,['تظاهرکنندگان'],5,5,20,32,"[5, 5]"
be26c9e5-b25d-5691-80a0-1d0880396ac5+7,event-21,patient,ss-6,19,,۱۹ نفر,"['۱۹', 'نفر']",7,8,28,34,"[5, 5]"
bf31597a-b1d1-5497-bea9-080f5dbe1496+11,event-22,agent,ss-14,It,,این,['این'],0,0,0,3,"[0, 0]"
bf31597a-b1d1-5497-bea9-080f5dbe1496+11,event-22,anchor,ss-37,home,,قرار دارد,"['قرار', 'دارد']",7,8,40,49,"[2, 2]"
bfed8552-b1ed-504f-9b16-9a0a6141b70a+4,event-14,patient,ss-1,her,,خود,['خود'],31,31,134,137,"[24, 24]"
c1a951c5-c2c8-5a10-b03d-e9751ec98631+1,event-11,patient,ss-28,moderate elected president Mohamed Mursi,,محمد مورسی رئیس جمهور منتخب میانه رو,"['محمد', 'مورسی', 'رئیس', 'جمهور', 'منتخب', 'میانه', 'رو']",11,17,51,87,"[16, 20]"
c1a951c5-c2c8-5a10-b03d-e9751ec98631+3,event-27,patient,ss-2,The two wounded policemen,,دو پلیس زخمی,"['دو', 'پلیس', 'زخمی']",0,2,0,12,"[0, 3]"
c1a951c5-c2c8-5a10-b03d-e9751ec98631+4,event-7,anchor,ss-40,saying,نقل,,[],0,0,0,0,"[8, 8]"
c1a951c5-c2c8-5a10-b03d-e9751ec98631+6,event-3,anchor,ss-36,claimed responsibility,مسئولیت حملات روز شنبه را بر عهده,مسئولیت,['مسئولیت'],4,4,20,27,"[2, 3]"
c1a951c5-c2c8-5a10-b03d-e9751ec98631+8,event-6,agent,ss-18,the Egyptian affiliate of the Islamic State in Iraq and the Levant ( ISIL ) insurgents,,شاخه اسلامی عراق و شام ( داعش ),"['شاخه', 'اسلامی', 'عراق', 'و', 'شام', '(', 'داعش', ')']",3,12,12,53,"[3, 18]"
c252eb69-7f9d-513e-aeb8-320f03b14a88+0,event-14,patient,ss-1,D.C. Five,پنج دی سی » در پاکستان به اتهام ترور زندانی شد .,پنج دی سی,"['پنج', 'دی', 'سی']",1,3,2,11,"[1, 2]"
c252eb69-7f9d-513e-aeb8-320f03b14a88+11,event-17,patient,ss-1,their,آن‌ها,وکیلشان,['وکیلشان'],2,2,9,16,"[10, 10]"
c252eb69-7f9d-513e-aeb8-320f03b14a88+2,event-22,patient,ss-1,the &quot; D.C. Five,پنج,,[],0,0,0,0,"[4, 7]"
c5cf1e61-f2cd-5ae7-829d-c85109b144ea+2,event-16,patient,ss-2,humans,انسان‌ها,,[],0,0,0,0,"[15, 15]"
c5cf1e61-f2cd-5ae7-829d-c85109b144ea+8,event-21,patient,ss-8,15 kampung chickens,,۱۵ مرغ کامانگ پونگ,"['۱۵', 'مرغ', 'کامانگ', 'پونگ']",23,26,110,128,"[22, 24]"
c8e9484f-1b54-58ed-9139-74db41d1bd6b+8,event-1,agent,ss-9,which,,که,['که'],20,20,103,105,"[19, 19]"
cd9e8a49-d3f4-51c7-b4c2-2703767c9add+2,event-11,agent,ss-6,it,لیبی,,[],0,0,0,0,"[22, 22]"
cd9e8a49-d3f4-51c7-b4c2-2703767c9add+4,event-9,agent,ss-10,his,القیاف,برادرانش,['برادرانش'],5,5,22,30,"[7, 7]"
d1543b86-f4f6-56d4-a5af-e22732906daf+5,event-12,patient,ss-11,Wade,,وید,['وید'],8,8,39,42,"[12, 12]"
dc12c567-099f-5a6d-96e6-7c5563458455+5,event-8,anchor,ss-24,added,می‌خواهد,,[],0,0,0,0,"[31, 31]"
dc12c567-099f-5a6d-96e6-7c5563458455+7,event-30,patient,ss-8,"some 1,330 more",,حدود ۱ ٬ ۳۳۰ نفر دیگر,"['حدود', '۱', '٬', '۳۳۰', 'نفر', 'دیگر']",18,23,92,113,"[20, 22]"
dc12c567-099f-5a6d-96e6-7c5563458455+9,event-15,agent,ss-9,protesting people,,معترضان,['معترضان'],16,16,71,78,"[17, 18]"
dd50b550-05e1-5989-99ce-13af7e000084+1,event-12,agent,ss-1,their,دولت شورشی تشنه به پول لیبی,پیشرویشان,['پیشرویشان'],12,12,54,63,"[13, 13]"
e210e326-1f09-59f8-bc8c-0a69c8cd5055+0,event-13,anchor,ss-26,pushed,لگد زدند,هل دادند,"['هل', 'دادند']",47,48,210,218,"[24, 24]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-12,agent,ss-11,Indian yoga guru,,راهب هندی یوگای هندی,"['راهب', 'هندی', 'یوگای', 'هندی']",0,3,0,20,"[0, 2]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-12,anchor,ss-28,fast,,روزه,['روزه'],6,6,28,32,"[5, 5]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-17,anchor,ss-33,corruption,فساد را تعطیل کرد .,فساد,['فساد'],8,8,38,42,"[7, 7]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+2,event-14,anchor,ss-30,fast,اعتصاب,روزه,['روزه'],30,30,139,143,"[4, 4]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+6,event-15,agent,ss-11,his,,اش,['اش'],11,11,53,55,"[8, 8]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+8,event-24,patient,ss-5,a dozen defendants,,ده ها متهم,"['ده', 'ها', 'متهم']",10,12,41,51,"[9, 11]"
e6111897-b419-5f66-b95b-2286832670b0+2,event-12,anchor,ss-27,occurs,رخ,رخ می دهد,"['رخ', 'می', 'دهد']",58,60,265,274,"[28, 28]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+0,event-39,agent,ss-7,Russia,,روسیه,['روسیه'],0,0,0,5,"[0, 0]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+1,event-2,patient,ss-1,his,آل کسی اولویکاوف,وزارتش,['وزارتش'],8,8,38,44,"[10, 10]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+3,event-29,patient,ss-1,he,آلکسی اولویوکاف,,[],0,0,0,0,"[14, 14]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+4,event-30,patient,ss-1,his,اولیاکایف,وزیرش,['وزیرش'],5,5,27,32,"[11, 11]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+4,event-9,agent,ss-13,state-owned oil giant Rosneft,,شرکت بزرگ نفتی روسی باچانف,"['شرکت', 'بزرگ', 'نفتی', 'روسی', 'باچانف']",12,16,64,90,"[20, 23]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+4,event-9,patient,ss-10,smaller firm Bashneft,شرکت بزرگ نفتی روسی باچانف,,[],0,0,0,0,"[33, 35]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+0,event-18,anchor,ss-35,charged,اتهام زده,,[],0,0,0,0,"[2, 2]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+1,event-2,anchor,ss-19,payments,,پرداخت,['پرداخت'],4,4,21,27,"[9, 9]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+1,event-2,patient,ss-10,former Ipswich City Council chief executive Carl Wulff,,مدیر اجرایی شورای شهر اکستر ، کارل وولف,"['مدیر', 'اجرایی', 'شورای', 'شهر', 'اکستر', '،', 'کارل', 'وولف']",8,15,43,82,"[14, 21]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+1,event-2,patient,ss-3,his wife,,همسرش,['همسرش'],17,17,85,90,"[23, 24]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+3,event-9,agent,ss-11,CCC,کمیته,کمیته ارتباطات دولت,"['کمیته', 'ارتباطات', 'دولت']",3,5,16,35,"[8, 8]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+5,event-31,agent,ss-11,CCC,,این شورا,"['این', 'شورا']",10,11,47,55,"[10, 10]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+5,event-31,patient,ss-9,the council,شورا,,[],0,0,0,0,"[14, 15]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+5,event-22,patient,ss-1,the 15th,پنجمین نفری,,[],0,0,0,0,"[20, 21]"
eeb788a4-3b63-554a-b05c-c8774bedee61+11,event-4,anchor,ss-26,sworn in,یاد,سوگند یاد کرد,"['سوگند', 'یاد', 'کرد']",13,15,58,71,"[9, 10]"
eeb788a4-3b63-554a-b05c-c8774bedee61+16,event-27,anchor,ss-49,gathered,گرد,گرد هم آمدیم,"['گرد', 'هم', 'آمدیم']",12,14,50,62,"[5, 5]"
eeb788a4-3b63-554a-b05c-c8774bedee61+17,event-11,agent,ss-9,journalists,,روزنامه نگارانی,"['روزنامه', 'نگارانی']",17,18,73,88,"[13, 13]"
f897f22c-45cf-5f41-a53b-6ec4e1594a09+5,event-24,anchor,ss-39,trials,دادگاه‌های,,[],0,0,0,0,"[4, 4]"
fb88fa3e-b00a-5125-9638-562fe9ee18cc+11,event-41,patient,ss-7,anyone else,,هیچ کس,"['هیچ', 'کس']",18,19,98,104,"[20, 21]"
fb88fa3e-b00a-5125-9638-562fe9ee18cc+5,event-28,agent,ss-13,he,شده‌است,,[],0,0,0,0,"[3, 3]"
