doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,"They each received 10-year directorship bans . They were all convicted of conspiring to defraud fellow &quot; directors , employees , actuaries , auditors , re-insurers , shareholders , policyholders and others by dishonestly withholding claims data &quot; . This saw them keeping information on so-called &quot; whiteboards &quot; and off the main system between 1998 and 2001 , the year Independent went bust .",آن ها هر کدام از آن ها به ۱۰ سال محرومیت محکوم شدند . همه آن ها به توطئه برای کلاهبرداری از همکاران ' مدیران ، کارکنان ، حسابداران ، حسابداران ، بازرسان ، سهام داران ، سهام داران ، بیمه کنندگان و دیگران با پنهان کردن داده های ادعایی ' محکوم شدند .,They,آن ها,"['آن', 'ها']",15,16,58,63
,,,,"They each received 10-year directorship bans . They were all convicted of conspiring to defraud fellow &quot; directors , employees , actuaries , auditors , re-insurers , shareholders , policyholders and others by dishonestly withholding claims data &quot; . This saw them keeping information on so-called &quot; whiteboards &quot; and off the main system between 1998 and 2001 , the year Independent went bust .",آن ها هر کدام از آن ها به ۱۰ سال محرومیت محکوم شدند . همه آن ها به توطئه برای کلاهبرداری از همکاران ' مدیران ، کارکنان ، حسابداران ، حسابداران ، بازرسان ، سهام داران ، سهام داران ، بیمه کنندگان و دیگران با پنهان کردن داده های ادعایی ' محکوم شدند .,"fellow &quot; directors , employees , actuaries , auditors , re-insurers , shareholders , policyholders",همکاران ' مدیران ، کارکنان ، حسابداران ، حسابداران ، بازرسان ، سهام داران ، سهام داران ، بیمه کنندگان,"['همکاران', ""'"", 'مدیران', '،', 'کارکنان', '،', 'حسابداران', '،', 'حسابداران', '،', 'بازرسان', '،', 'سهام', 'داران', '،', 'سهام', 'داران', '،', 'بیمه', 'کنندگان']",22,41,92,193
,,,,"They each received 10-year directorship bans . They were all convicted of conspiring to defraud fellow &quot; directors , employees , actuaries , auditors , re-insurers , shareholders , policyholders and others by dishonestly withholding claims data &quot; . This saw them keeping information on so-called &quot; whiteboards &quot; and off the main system between 1998 and 2001 , the year Independent went bust .",آن ها هر کدام از آن ها به ۱۰ سال محرومیت محکوم شدند . همه آن ها به توطئه برای کلاهبرداری از همکاران ' مدیران ، کارکنان ، حسابداران ، حسابداران ، بازرسان ، سهام داران ، سهام داران ، بیمه کنندگان و دیگران با پنهان کردن داده های ادعایی ' محکوم شدند .,Independent,,[],0,0,0,0
,,,,"They each received 10-year directorship bans . They were all convicted of conspiring to defraud fellow &quot; directors , employees , actuaries , auditors , re-insurers , shareholders , policyholders and others by dishonestly withholding claims data &quot; . This saw them keeping information on so-called &quot; whiteboards &quot; and off the main system between 1998 and 2001 , the year Independent went bust .",آن ها هر کدام از آن ها به ۱۰ سال محرومیت محکوم شدند . همه آن ها به توطئه برای کلاهبرداری از همکاران ' مدیران ، کارکنان ، حسابداران ، حسابداران ، بازرسان ، سهام داران ، سهام داران ، بیمه کنندگان و دیگران با پنهان کردن داده های ادعایی ' محکوم شدند .,bust,,[],0,0,0,0
,,,,"Mubarak is scheduled to face the Cairo Criminal Court on August 3 on charges of corruption and deaths of protesters , officials have said .",مقامات اعلام کرده اند که مبارک قرار است در ۳ اوت به اتهام فساد و مرگ تظاهرکنندگان با دادگاه جنایی قاهره رو به رو شود .,Cairo Criminal Court,دادگاه جنایی قاهره,"['دادگاه', 'جنایی', 'قاهره']",18,20,85,103
,,,,"Mubarak is scheduled to face the Cairo Criminal Court on August 3 on charges of corruption and deaths of protesters , officials have said .",مقامات اعلام کرده اند که مبارک قرار است در ۳ اوت به اتهام فساد و مرگ تظاهرکنندگان با دادگاه جنایی قاهره رو به رو شود .,said,اعلام کرده اند,"['اعلام', 'کرده', 'اند']",1,3,7,21
,,,,The Islamist movement Hamas organised anti-Mubarak demonstrations in Gaza .,جنبش اسلامی حماس تظاهرات ضد مکه را در غزه سازماندهی کرد .,organised,سازماندهی کرد,"['سازماندهی', 'کرد']",9,10,42,55
,,,,"Meanwhile , in Gaza , the Islamist movement Hamas organised anti-Mubarak demonstrations .",در همین حال ، در غزه ، جنبش اسلامی حماس تظاهرات ضد مکه را سازماندهی کرد .,the Islamist movement Hamas,جنبش اسلامی حماس,"['جنبش', 'اسلامی', 'حماس']",7,9,23,39
,,,,"Meanwhile , in Gaza , the Islamist movement Hamas organised anti-Mubarak demonstrations .",در همین حال ، در غزه ، جنبش اسلامی حماس تظاهرات ضد مکه را سازماندهی کرد .,organised,سازماندهی کرد,"['سازماندهی', 'کرد']",14,15,58,71
,,,,But they overwhelmingly blame Israel and the occupation for their plight .,اما آن ها اسرائیل و اشغال اسرائیل را به خاطر مشکلاتشان سرزنش می کنند .,they,آن ها,"['آن', 'ها']",1,2,4,9
,,,,These will remain closed until further notice .,این ها تا اطلاع ثانوی تعطیل خواهند ماند .,These,این ها,"['این', 'ها']",0,1,0,6
,,,,"They also say some politicians were forced out by alleged scandals without being probed , such as former agriculture minister Nunzia Di Giralomo .",آن ها همچنین می گویند که برخی از سیاستمداران بدون اینکه مورد بازجویی قرار گیرند ، از جمله وزیر کشاورزی سابق ، نونسیا دی ژیرالومو ، به زور از زندان آزاد شدند .,They,آن ها,"['آن', 'ها']",0,1,0,5
,,,,"They also say some politicians were forced out by alleged scandals without being probed , such as former agriculture minister Nunzia Di Giralomo .",آن ها همچنین می گویند که برخی از سیاستمداران بدون اینکه مورد بازجویی قرار گیرند ، از جمله وزیر کشاورزی سابق ، نونسیا دی ژیرالومو ، به زور از زندان آزاد شدند .,say,می گویند,"['می', 'گویند']",3,4,13,21
,,,,"They also say some politicians were forced out by alleged scandals without being probed , such as former agriculture minister Nunzia Di Giralomo .",آن ها همچنین می گویند که برخی از سیاستمداران بدون اینکه مورد بازجویی قرار گیرند ، از جمله وزیر کشاورزی سابق ، نونسیا دی ژیرالومو ، به زور از زندان آزاد شدند .,some politicians,برخی از سیاستمداران,"['برخی', 'از', 'سیاستمداران']",6,8,25,44
,,,,"They also say some politicians were forced out by alleged scandals without being probed , such as former agriculture minister Nunzia Di Giralomo .",آن ها همچنین می گویند که برخی از سیاستمداران بدون اینکه مورد بازجویی قرار گیرند ، از جمله وزیر کشاورزی سابق ، نونسیا دی ژیرالومو ، به زور از زندان آزاد شدند .,forced out,به زور از زندان آزاد شدند,"['به', 'زور', 'از', 'زندان', 'آزاد', 'شدند']",26,31,131,156
,,,,"They also say some politicians were forced out by alleged scandals without being probed , such as former agriculture minister Nunzia Di Giralomo .",آن ها همچنین می گویند که برخی از سیاستمداران بدون اینکه مورد بازجویی قرار گیرند ، از جمله وزیر کشاورزی سابق ، نونسیا دی ژیرالومو ، به زور از زندان آزاد شدند .,scandals,,[],0,0,0,0
,,,,"Political observers here said the outcome of a Chand-Singh contest would determine whether the assembly assumes greater powers in Nepal &apos;s political system , although they said the king and his palace counselors will likely continue as the real power center .",ناظران سیاسی در اینجا می گویند نتیجه یک مسابقه چاند-سینگ می تواند تعیین کند که آیا مجلس قدرت بیشتری در نظام سیاسی نپال به دست خواهد آورد یا خیر ، اگر چه آن ها می گویند که پادشاه و مشاوران کاخ او احتمالاً به عنوان مرکز قدرت واقعی ادامه خواهند داد .,Political observers,ناظران سیاسی,"['ناظران', 'سیاسی']",0,1,0,12
,,,,"Political observers here said the outcome of a Chand-Singh contest would determine whether the assembly assumes greater powers in Nepal &apos;s political system , although they said the king and his palace counselors will likely continue as the real power center .",ناظران سیاسی در اینجا می گویند نتیجه یک مسابقه چاند-سینگ می تواند تعیین کند که آیا مجلس قدرت بیشتری در نظام سیاسی نپال به دست خواهد آورد یا خیر ، اگر چه آن ها می گویند که پادشاه و مشاوران کاخ او احتمالاً به عنوان مرکز قدرت واقعی ادامه خواهند داد .,said,می گویند,"['می', 'گویند']",4,5,22,30
,,,,"Political observers here said the outcome of a Chand-Singh contest would determine whether the assembly assumes greater powers in Nepal &apos;s political system , although they said the king and his palace counselors will likely continue as the real power center .",ناظران سیاسی در اینجا می گویند نتیجه یک مسابقه چاند-سینگ می تواند تعیین کند که آیا مجلس قدرت بیشتری در نظام سیاسی نپال به دست خواهد آورد یا خیر ، اگر چه آن ها می گویند که پادشاه و مشاوران کاخ او احتمالاً به عنوان مرکز قدرت واقعی ادامه خواهند داد .,Chand-Singh,چاند-سینگ,['چاند-سینگ'],9,9,47,56
,,,,"Political observers here said the outcome of a Chand-Singh contest would determine whether the assembly assumes greater powers in Nepal &apos;s political system , although they said the king and his palace counselors will likely continue as the real power center .",ناظران سیاسی در اینجا می گویند نتیجه یک مسابقه چاند-سینگ می تواند تعیین کند که آیا مجلس قدرت بیشتری در نظام سیاسی نپال به دست خواهد آورد یا خیر ، اگر چه آن ها می گویند که پادشاه و مشاوران کاخ او احتمالاً به عنوان مرکز قدرت واقعی ادامه خواهند داد .,said,می گویند,"['می', 'گویند']",34,35,159,167
,,,,"At the same time , leaders here will press the case with diplomats from abroad that the military is the only hope to prevent further chaos in Cairo .",در عین حال رهبران حاضر در اینجا با دیپلمات های خارج از کشور در این مورد بحث می کنند که ارتش تنها امید برای جلوگیری از هرج و مرج بیشتر در قاهره است .,press the case,در این مورد بحث می کنند,"['در', 'این', 'مورد', 'بحث', 'می', 'کنند']",13,18,60,83
,,,,"At the same time , leaders here will press the case with diplomats from abroad that the military is the only hope to prevent further chaos in Cairo .",در عین حال رهبران حاضر در اینجا با دیپلمات های خارج از کشور در این مورد بحث می کنند که ارتش تنها امید برای جلوگیری از هرج و مرج بیشتر در قاهره است .,diplomats,دیپلمات های,"['دیپلمات', 'های']",8,9,35,46
,,,,"While Taiwan ’ s initial efforts to control the spread of the virus have won praise at home and abroad , it is now facing an upsurge in cases from people bringing the virus with them to the island , as are some other countries in Asia .",در حالی که تلاش های اولیه تایوان برای کنترل گسترش ویروس در داخل و خارج از کشور مورد تحسین قرار گرفته است ، اما در حال حاضر با افزایش موارد ابتلا به این ویروس از طریق افرادی که این ویروس را با خود به جزیره می آورند ، مواجه است .,the virus,ویروس,['ویروس'],10,10,50,55
,,,,"While Taiwan ’ s initial efforts to control the spread of the virus have won praise at home and abroad , it is now facing an upsurge in cases from people bringing the virus with them to the island , as are some other countries in Asia .",در حالی که تلاش های اولیه تایوان برای کنترل گسترش ویروس در داخل و خارج از کشور مورد تحسین قرار گرفته است ، اما در حال حاضر با افزایش موارد ابتلا به این ویروس از طریق افرادی که این ویروس را با خود به جزیره می آورند ، مواجه است .,the island,جزیره,['جزیره'],44,44,199,204
,,,,Supporters of an extreme right party which entered Greece &apos;s parliament for the first time in the 6 May elections have clashed with police during an anti-immigrant protest in the western port of Patras .,حامیان یک حزب راست افراطی که برای اولین بار در انتخابات ۶ مه برای اولین بار وارد پارلمان یونان شد ، در جریان یک تظاهرات ضد مهاجرتی در بندر غربی پاتراس با پلیس درگیر شدند .,Greece &apos;s parliament,پارلمان یونان,"['پارلمان', 'یونان']",17,18,81,94
,,,,Death toll in December &apos;s Cairo church bombing rises to 29,مرگ و میر در بمباران کلیسای قاهره در دسامبر به ۲۹ نفر افزایش یافت .,Cairo church,کلیسای قاهره,"['کلیسای', 'قاهره']",5,6,21,33
,,,,Death toll in December &apos;s Cairo church bombing rises to 29,مرگ و میر در بمباران کلیسای قاهره در دسامبر به ۲۹ نفر افزایش یافت .,29,۲۹,['۲۹'],10,10,47,49
,,,,"Colombia &apos;s main rebel group , the Revolutionary Armed Forces of Colombia , or FARC , has released a video of an abducted congressman as proof the politician is alive .",گروه شورشی اصلی کلمبیا ، نیروهای مسلح انقلابی کلمبیا ، یا فارک ، ویدئویی از یک نماینده کنگره ربوده شده منتشر کرده اند تا ثابت کنند که او زنده است .,an abducted congressman,یک نماینده کنگره ربوده شده,"['یک', 'نماینده', 'کنگره', 'ربوده', 'شده']",15,19,76,102
,,,,"Established as the military wing of the Colombian Communist Party in 1964 , FARC is Colombia &apos; s oldest , largest and best-equipped Marxist rebel group , according to the U.S. Department of State .",این سازمان به عنوان شاخه نظامی حزب کمونیست کلمبیا در سال ۱۹۶۴ تأسیس شد و قدیمی ترین ، بزرگترین و مجهزترین گروه شورشی مارکسیستی در کلمبیا است .,according,,[],0,0,0,0
,,,,"Established as the military wing of the Colombian Communist Party in 1964 , FARC is Colombia &apos; s oldest , largest and best-equipped Marxist rebel group , according to the U.S. Department of State .",این سازمان به عنوان شاخه نظامی حزب کمونیست کلمبیا در سال ۱۹۶۴ تأسیس شد و قدیمی ترین ، بزرگترین و مجهزترین گروه شورشی مارکسیستی در کلمبیا است .,the U.S. Department of State,,[],0,0,0,0
,,,,A Catholic archbishop was kidnapped today in the northern Iraqi city of Mosul .,یک اسقف اعظم کاتولیک در شهر موصل در شمال عراق ربوده شد .,A Catholic archbishop,یک اسقف اعظم کاتولیک,"['یک', 'اسقف', 'اعظم', 'کاتولیک']",0,3,0,20
,,,,"Witnesses said Basile Georges Casmoussa , 66 , was seized by gunmen as he was walking in front of his church .",شاهدها می گویند که باسیل ژرژ کاسماسا ۶۶ ساله هنگام عبور از جلوی کلیسا توسط افراد مسلح دستگیر شد .,said,می گویند,"['می', 'گویند']",1,2,7,15
,,,,"As Mubarak Digs In , U.S. Policy in Egypt Is Complicated",همان طور که مبارک در مصر نفوذ می کند ، سیاست آمریکا در مصر پیچیده است .,U.S.,آمریکا,['آمریکا'],11,11,45,51
,,,,"But human rights advocates say that so far Mr. Suleiman , who also is in charge of Egyptian intelligence , has shown no sign of discontinuing the practice of extra-legal detention of political opponents — a hallmark of President Hosni Mubarak ’ s nearly 30-year rule that is a central grievance of the protesters in the streets .",اما مدافعان حقوق بشر می گویند که تا به حال آقای سلیمان که مسئول اطلاعات مصر نیز هست ، هیچ نشانه ای از توقف حبس بیش از حد قانونی مخالفان سیاسی نشان نداده است - این نشانه بارز حکومت تقریباً ۳۰ ساله حسنی مبارک رئیس جمهور مصر است که شکایت اصلی معترضان در خیابان ها است .,human rights advocates,مدافعان حقوق بشر,"['مدافعان', 'حقوق', 'بشر']",1,3,4,20
,,,,"But human rights advocates say that so far Mr. Suleiman , who also is in charge of Egyptian intelligence , has shown no sign of discontinuing the practice of extra-legal detention of political opponents — a hallmark of President Hosni Mubarak ’ s nearly 30-year rule that is a central grievance of the protesters in the streets .",اما مدافعان حقوق بشر می گویند که تا به حال آقای سلیمان که مسئول اطلاعات مصر نیز هست ، هیچ نشانه ای از توقف حبس بیش از حد قانونی مخالفان سیاسی نشان نداده است - این نشانه بارز حکومت تقریباً ۳۰ ساله حسنی مبارک رئیس جمهور مصر است که شکایت اصلی معترضان در خیابان ها است .,say,می گویند,"['می', 'گویند']",4,5,21,29
,,,,"But human rights advocates say that so far Mr. Suleiman , who also is in charge of Egyptian intelligence , has shown no sign of discontinuing the practice of extra-legal detention of political opponents — a hallmark of President Hosni Mubarak ’ s nearly 30-year rule that is a central grievance of the protesters in the streets .",اما مدافعان حقوق بشر می گویند که تا به حال آقای سلیمان که مسئول اطلاعات مصر نیز هست ، هیچ نشانه ای از توقف حبس بیش از حد قانونی مخالفان سیاسی نشان نداده است - این نشانه بارز حکومت تقریباً ۳۰ ساله حسنی مبارک رئیس جمهور مصر است که شکایت اصلی معترضان در خیابان ها است .,Egyptian intelligence,اطلاعات مصر,"['اطلاعات', 'مصر']",14,15,64,75
,,,,"But human rights advocates say that so far Mr. Suleiman , who also is in charge of Egyptian intelligence , has shown no sign of discontinuing the practice of extra-legal detention of political opponents — a hallmark of President Hosni Mubarak ’ s nearly 30-year rule that is a central grievance of the protesters in the streets .",اما مدافعان حقوق بشر می گویند که تا به حال آقای سلیمان که مسئول اطلاعات مصر نیز هست ، هیچ نشانه ای از توقف حبس بیش از حد قانونی مخالفان سیاسی نشان نداده است - این نشانه بارز حکومت تقریباً ۳۰ ساله حسنی مبارک رئیس جمهور مصر است که شکایت اصلی معترضان در خیابان ها است .,political opponents,مخالفان سیاسی,"['مخالفان', 'سیاسی']",29,30,128,141
,,,,"An outbreak of Ebola hemorrhagic fever in West Africa has spread to Guinea &apos;s capital and beyond its borders in an &quot; unprecedented epidemic , &quot; a leading aid agency reported Monday .",یک شیوع تب واگیر ابولا در غرب آفریقا به پایتخت گینه و فراتر از مرزهای آن در یک « همه گیری بی سابقه » گزارش داده است .,Ebola hemorrhagic fever,تب واگیر ابولا,"['تب', 'واگیر', 'ابولا']",2,4,8,22
,,,,"An outbreak of Ebola hemorrhagic fever in West Africa has spread to Guinea &apos;s capital and beyond its borders in an &quot; unprecedented epidemic , &quot; a leading aid agency reported Monday .",یک شیوع تب واگیر ابولا در غرب آفریقا به پایتخت گینه و فراتر از مرزهای آن در یک « همه گیری بی سابقه » گزارش داده است .,epidemic,همه گیری,"['همه', 'گیری']",19,20,81,89
,,,,"An outbreak of Ebola hemorrhagic fever in West Africa has spread to Guinea &apos;s capital and beyond its borders in an &quot; unprecedented epidemic , &quot; a leading aid agency reported Monday .",یک شیوع تب واگیر ابولا در غرب آفریقا به پایتخت گینه و فراتر از مرزهای آن در یک « همه گیری بی سابقه » گزارش داده است .,a leading aid agency,,[],0,0,0,0
,,,,A 49-year-old doctor was arrested Saturday for throwing a shoe at Greek Prime Minister George Papandreou in protest of the government &apos;s austerity measures .,یک دکتر چهل و نه ساله به دلیل اصابت یک کفش به نخست وزیر یونان جورج پاپولدو در اعتراض به اقدامات تحمیلی دولت دستگیر شد .,A 49-year-old doctor,یک دکتر چهل و نه ساله,"['یک', 'دکتر', 'چهل', 'و', 'نه', 'ساله']",0,5,0,21
,,,,A 49-year-old doctor was arrested Saturday for throwing a shoe at Greek Prime Minister George Papandreou in protest of the government &apos;s austerity measures .,یک دکتر چهل و نه ساله به دلیل اصابت یک کفش به نخست وزیر یونان جورج پاپولدو در اعتراض به اقدامات تحمیلی دولت دستگیر شد .,Greek Prime Minister George Papandreou,نخست وزیر یونان جورج پاپولدو,"['نخست', 'وزیر', 'یونان', 'جورج', 'پاپولدو']",12,16,46,74
,,,,A 49-year-old doctor was arrested Saturday for throwing a shoe at Greek Prime Minister George Papandreou in protest of the government &apos;s austerity measures .,یک دکتر چهل و نه ساله به دلیل اصابت یک کفش به نخست وزیر یونان جورج پاپولدو در اعتراض به اقدامات تحمیلی دولت دستگیر شد .,the government,دولت,['دولت'],22,22,103,107
,,,,"&quot; We knew he attended school in Yemen , and one of the mosques he was visiting in Sanaa we &apos;ve been surveilling and questioning some of the people there to see whether he has links or not , &quot; he said .",او می گوید : « ما می دانستیم که او به مدرسه ای در یمن می رود و یکی از مساجد در صنعا را ملاقات می کند .,one of the mosques,یکی از مساجد,"['یکی', 'از', 'مساجد']",18,20,63,75
,,,,"&quot; We knew he attended school in Yemen , and one of the mosques he was visiting in Sanaa we &apos;ve been surveilling and questioning some of the people there to see whether he has links or not , &quot; he said .",او می گوید : « ما می دانستیم که او به مدرسه ای در یمن می رود و یکی از مساجد در صنعا را ملاقات می کند .,we,,[],0,0,0,0
,,,,"&quot; We knew he attended school in Yemen , and one of the mosques he was visiting in Sanaa we &apos;ve been surveilling and questioning some of the people there to see whether he has links or not , &quot; he said .",او می گوید : « ما می دانستیم که او به مدرسه ای در یمن می رود و یکی از مساجد در صنعا را ملاقات می کند .,surveilling,,[],0,0,0,0
,,,,"&quot; We knew he attended school in Yemen , and one of the mosques he was visiting in Sanaa we &apos;ve been surveilling and questioning some of the people there to see whether he has links or not , &quot; he said .",او می گوید : « ما می دانستیم که او به مدرسه ای در یمن می رود و یکی از مساجد در صنعا را ملاقات می کند .,questioning,,[],0,0,0,0
,,,,"&quot; We knew he attended school in Yemen , and one of the mosques he was visiting in Sanaa we &apos;ve been surveilling and questioning some of the people there to see whether he has links or not , &quot; he said .",او می گوید : « ما می دانستیم که او به مدرسه ای در یمن می رود و یکی از مساجد در صنعا را ملاقات می کند .,some of the people,,[],0,0,0,0
,,,,"&quot; We knew he attended school in Yemen , and one of the mosques he was visiting in Sanaa we &apos;ve been surveilling and questioning some of the people there to see whether he has links or not , &quot; he said .",او می گوید : « ما می دانستیم که او به مدرسه ای در یمن می رود و یکی از مساجد در صنعا را ملاقات می کند .,said,می گوید,"['می', 'گوید']",1,2,3,10
,,,,"AbdulMutallab bought his ticket to travel from Lagos , Nigeria , to Detroit , Michigan , via Amsterdam the day before the first attack , according to Nigerian officials .",بنا به گفته مقامات نیجریه ، عبدالملوک بلیط سفر خود را از لاگوس نیجریه به دیترویت در میشیگان ، روز قبل از حمله اول از طریق آمستردام خریده است .,according,بنا به گفته,"['بنا', 'به', 'گفته']",0,2,0,11
,,,,"AbdulMutallab bought his ticket to travel from Lagos , Nigeria , to Detroit , Michigan , via Amsterdam the day before the first attack , according to Nigerian officials .",بنا به گفته مقامات نیجریه ، عبدالملوک بلیط سفر خود را از لاگوس نیجریه به دیترویت در میشیگان ، روز قبل از حمله اول از طریق آمستردام خریده است .,Nigerian officials,مقامات نیجریه,"['مقامات', 'نیجریه']",3,4,12,25
,,,,Egypt names new foreign minister,مصر نام وزیر امور خارجه جدید را بر آن نهاد .,new foreign minister,وزیر امور خارجه جدید,"['وزیر', 'امور', 'خارجه', 'جدید']",2,5,8,28
,,,,After the 14 were suspended – all on full pay – Pentonville was forced to close a wing as it had insufficient staff to make it secure .,پس از اینکه ۱۴ نفر به طور کامل تعلیق شدند ، پنتنویل مجبور به بستن یک بخش شد ، زیرا کارکنان کافی برای اطمینان از این امر نداشت .,the 14,۱۴ نفر,"['۱۴', 'نفر']",3,4,12,18
,,,,"Two of the 14 officers were charged and found guilty , but both these convictions were overturned on appeal .",دو تن از ۱۴ افسر متهم و گناهکار شناخته شدند ، اما هر دو این محکومیت ها در فرجام خواهی لغو شد .,Two of the 14 officers,دو تن از ۱۴ افسر,"['دو', 'تن', 'از', '۱۴', 'افسر']",0,4,0,16
,,,,"Two of the 14 officers were charged and found guilty , but both these convictions were overturned on appeal .",دو تن از ۱۴ افسر متهم و گناهکار شناخته شدند ، اما هر دو این محکومیت ها در فرجام خواهی لغو شد .,found guilty,گناهکار شناخته شدند,"['گناهکار', 'شناخته', 'شدند']",7,9,24,43
,,,,"Two of the 14 officers were charged and found guilty , but both these convictions were overturned on appeal .",دو تن از ۱۴ افسر متهم و گناهکار شناخته شدند ، اما هر دو این محکومیت ها در فرجام خواهی لغو شد .,appeal,فرجام خواهی,"['فرجام', 'خواهی']",18,19,74,85
,,,,Teenager jailed for seven years for attack on Jewish teacher in France,نوجوان به جرم حمله به معلم یهودی در فرانسه به هفت سال زندان محکوم شد .,jailed,زندان محکوم شد,"['زندان', 'محکوم', 'شد']",12,14,54,68
,,,,Teenager jailed for seven years for attack on Jewish teacher in France,نوجوان به جرم حمله به معلم یهودی در فرانسه به هفت سال زندان محکوم شد .,Jewish teacher,معلم یهودی,"['معلم', 'یهودی']",5,6,22,32
,,,,"Israel says the military assault is in response to ongoing rocket strikes on Israel , which have killed two Israelis .",اسرائیل می گوید حملات موشکی در پاسخ به اسرائیل در حال انجام است که دو اسرائیلی را کشت .,Israel,اسرائیل,['اسرائیل'],0,0,0,7
,,,,"Israel says the military assault is in response to ongoing rocket strikes on Israel , which have killed two Israelis .",اسرائیل می گوید حملات موشکی در پاسخ به اسرائیل در حال انجام است که دو اسرائیلی را کشت .,says,می گوید,"['می', 'گوید']",1,2,8,15
,,,,"Israel says the military assault is in response to ongoing rocket strikes on Israel , which have killed two Israelis .",اسرائیل می گوید حملات موشکی در پاسخ به اسرائیل در حال انجام است که دو اسرائیلی را کشت .,assault,حملات,['حملات'],3,3,16,21
,,,,"Israel says the military assault is in response to ongoing rocket strikes on Israel , which have killed two Israelis .",اسرائیل می گوید حملات موشکی در پاسخ به اسرائیل در حال انجام است که دو اسرائیلی را کشت .,killed,کشت,['کشت'],17,17,82,85
,,,,"&quot; The march was peaceful and diverse , &quot; said Aly Verjee , director of the international election observation mission to Djibouti , who witnessed the event .",' راهپیمایی صلح آمیز و متنوع بود .,said,,[],0,0,0,0
,,,,"&quot; The march was peaceful and diverse , &quot; said Aly Verjee , director of the international election observation mission to Djibouti , who witnessed the event .",' راهپیمایی صلح آمیز و متنوع بود .,Aly Verjee,,[],0,0,0,0
,,,,"The two cars exploded when security forces fired at them after their drivers refused to stop near a police station in the Northern Sinai town of Sheikh Zuweid , security sources said .",این دو خودرو وقتی منفجر شدند که نیروهای امنیتی به آن ها شلیک کردند که رانندگان آن ها از توقف در نزدیکی یک ایستگاه پلیس در شمال سینا خودداری کردند .,security forces,نیروهای امنیتی,"['نیروهای', 'امنیتی']",7,8,32,46
,,,,"The two cars exploded when security forces fired at them after their drivers refused to stop near a police station in the Northern Sinai town of Sheikh Zuweid , security sources said .",این دو خودرو وقتی منفجر شدند که نیروهای امنیتی به آن ها شلیک کردند که رانندگان آن ها از توقف در نزدیکی یک ایستگاه پلیس در شمال سینا خودداری کردند .,their drivers,رانندگان آن ها,"['رانندگان', 'آن', 'ها']",15,17,70,84
,,,,"The two cars exploded when security forces fired at them after their drivers refused to stop near a police station in the Northern Sinai town of Sheikh Zuweid , security sources said .",این دو خودرو وقتی منفجر شدند که نیروهای امنیتی به آن ها شلیک کردند که رانندگان آن ها از توقف در نزدیکی یک ایستگاه پلیس در شمال سینا خودداری کردند .,security sources,,[],0,0,0,0
,,,,"The two cars exploded when security forces fired at them after their drivers refused to stop near a police station in the Northern Sinai town of Sheikh Zuweid , security sources said .",این دو خودرو وقتی منفجر شدند که نیروهای امنیتی به آن ها شلیک کردند که رانندگان آن ها از توقف در نزدیکی یک ایستگاه پلیس در شمال سینا خودداری کردند .,said,,[],0,0,0,0
,,,,The men had said they were innocent and claimed they were tortured in jail .,مردان گفته بودند که بیگناه هستند و در زندان شکنجه شده اند .,The men,مردان,['مردان'],0,0,0,5
,,,,The men had said they were innocent and claimed they were tortured in jail .,مردان گفته بودند که بیگناه هستند و در زندان شکنجه شده اند .,claimed,,[],0,0,0,0
,,,,"The men , dubbed the &quot; D.C. Five , &quot; will also have to pay a fine of 75,000 Pakistani rupees ( $ 878 ) , public prosecutor Nadim Cheema said .",دادستان کل نادیم چما می گوید : این پنج مرد باید جریمه ۷۵۰۰۰ روپیه پاکستان ( ۸۷۸ دلار ) پرداخت کنند .,the &quot; D.C. Five,,[],0,0,0,0
,,,,"The men , dubbed the &quot; D.C. Five , &quot; will also have to pay a fine of 75,000 Pakistani rupees ( $ 878 ) , public prosecutor Nadim Cheema said .",دادستان کل نادیم چما می گوید : این پنج مرد باید جریمه ۷۵۰۰۰ روپیه پاکستان ( ۸۷۸ دلار ) پرداخت کنند .,said,می گوید,"['می', 'گوید']",4,5,21,28
,,,,"Rousseff herself has not been named in the investigation , but former Petrobras executives have told investigators that construction companies paid millions of dollars in bribes to secure lucrative contracts .",خود روسف در این تحقیقات نام برده نشده است ، اما مدیران سابق پتروبراس به محققان گفته اند که شرکت های ساخت و ساز میلیون ها دلار رشوه داده اند تا قراردادهای پرسود را تضمین کنند .,Petrobras,پتروبراس,['پتروبراس'],13,13,60,68
,,,,The presidential office did not comment on the PSDB &apos;s allegations .,دفتر ریاست جمهوری در مورد اتهامات DPDB اظهار نظر نکرد .,The presidential office,دفتر ریاست جمهوری,"['دفتر', 'ریاست', 'جمهوری']",0,2,0,17
,,,,The presidential office did not comment on the PSDB &apos;s allegations .,دفتر ریاست جمهوری در مورد اتهامات DPDB اظهار نظر نکرد .,comment,اظهار نظر نکرد,"['اظهار', 'نظر', 'نکرد']",7,9,39,53
,,,,Egypt braced for further unrest on Friday with supporters of deposed president Mohammed Mursi calling for mass protests against the army takeover .,مصر برای ناآرامی های بیشتری در روز جمعه با حامیان محمد مورسی رئیس جمهور سرنگون شده آماده می شد و خواستار اعتراضات گسترده علیه سلطه ارتش شد .,unrest,ناآرامی های,"['ناآرامی', 'های']",2,3,9,20
